SampleID,path,Label,Set,tissue,assay_type
EE86118,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86118.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86119,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86119.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86120,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86120.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86121,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86121.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86122,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86122.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86123,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86123.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86124,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86124.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86125,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86125.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86126,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86126.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86127,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86127.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86128,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86128.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86129,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86129.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86130,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86130.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86131,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86131.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86132,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86132.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86133,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86133.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86134,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86134.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86135,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86135.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86136,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86136.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86137,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86137.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86138,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86138.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WXS
EE86139,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86139.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WXS
EE86140,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86140.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86141,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86141.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86142,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86142.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86143,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86143.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86144,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86144.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86145,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86145.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86146,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86146.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86147,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86147.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86148,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86148.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86149,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86149.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86150,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86150.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86151,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86151.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
