SampleID,path,Label,Set,tissue,assay_type,newpath
EE86065,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86065.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86065.hg19.frag.tsv
EE86066,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86066.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86066.hg19.frag.tsv
EE86067,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86067.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86067.hg19.frag.tsv
EE86068,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86068.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86068.hg19.frag.tsv
EE86069,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86069.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86069.hg19.frag.tsv
EE86070,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86070.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86070.hg19.frag.tsv
EE86071,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86071.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86071.hg19.frag.tsv
EE86072,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86072.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86072.hg19.frag.tsv
EE86073,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86073.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86073.hg19.frag.tsv
EE86074,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86074.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86074.hg19.frag.tsv
